id,category,group,sub_group,naturally_leading,formula_using_library_names,economic_interpretation,regime_classification
US_ISM1,Leading / ISM Manufacturing New Orders,US,Macro - Survey,TRUE,ISM Manufacturing New Orders Index (NAPMOI via FRED monthly),"ISM New Orders is the single most reliable early indicator of US manufacturing activity, leading production by approximately 6 weeks. Above 52 signals expanding order books; below 48 signals contraction. Naturally leading: the current reading projects conditions 1-2 months ahead. Regime is based on ISM level thresholds, not z-score.","Level > 52: expansion (support industrials, materials, HY carry); 48-52: neutral/transition; < 48: contraction (favour defensives, IG, Treasuries)."
US_R6,Rates / mortgage affordability,US,Rates,,30-Year Fixed Mortgage Rate (MORTGAGE30US FRED) minus 10-Year Treasury Yield (DGS10 FRED),The spread between the 30Y mortgage rate and the 10Y Treasury reflects lender risk aversion and the tightness of housing credit. Historically widens 3-6 months before housing activity peaks and leads US_HOUS1 (building permits). A rising spread constrains home affordability and hits consumer wealth via the housing channel.,"Z > +1: mortgage stress (tighter housing credit, drag on construction and consumer spending); -1 <= Z <= +1: normal; Z < -1: easy housing credit (supportive of homebuilders, REITs)."
US_JOBS2,Labour market / JOLTS tightness,US,Macro,TRUE,JOLTS Job Openings (JTSJOL FRED) / Unemployed Persons (UNEMPLOY FRED),"The ratio of job openings to unemployed persons measures labour market tightness. When openings exceed unemployed (ratio > 1), wage growth accelerates and consumer spending stays resilient. This ratio leads reported unemployment by approximately 2 months and leads wage inflation by 3-4 months. Naturally leading: the current reading projects labour market conditions 1-2 months ahead.","Z > +1: labour-tight (wage pressure, consumer resilient; watch for inflation overshoot); -1 <= Z <= +1: balanced; Z < -1: labour-slack (unemployment rising, consumer vulnerable, easing bias)."
EU_R1,BTP-Bund,Europe,Rates - Growth,,Italy 10-Year Govt Bond Yield (IRLTLT01ITM156N FRED) minus Germany 10-Year Bund Yield (IRLTLT01DEM156N FRED),"The BTP-Bund spread is the primary gauge of Eurozone fiscal stress and ECB credibility. Spreads above 2.5% have historically triggered ECB intervention (OMT, PEPP). Widening spread raises tail risk for European equities and EUR; signals that peripheral sovereign risk is being repriced.","Raw > 2.5% OR Z > +1.5: peripheral-stress (reduce EU periphery equities, reduce EUR, watch for ECB response); -1 <= Z <= +1.5: normal; Z < -1: compressed (Eurozone unity premium, favourable for EZU, EUR)."
EU_G1,Eurozone vs global equities,Europe,Equity - Growth,,iShares MSCI Eurozone ETF (EZU) / iShares MSCI World ETF (URTH),"Eurozone equity relative to global equities in USD terms. Outperformance occurs when EUR strengthens, ECB turns accommodative, or China stimulus lifts European exporter earnings. Underperformance reflects fiscal stress, EUR weakness, or US exceptionalism. Useful for regional allocation at the 6-9 month horizon.","Z > +1: eurozone-outperform (OW European equities, supportive of EUR); -1 <= Z <= +1: neutral; Z < -1: eurozone-underperform (favour US/Global, reduce EUR exposure)."
JP_G1,Japan vs global equities,Japan,Equity - Growth,,iShares MSCI Japan ETF (EWJ) / iShares MSCI World ETF (URTH),"Japan equity relative to global equities in USD terms. Japan outperforms when the yen weakens (exporter earnings lift), the BOJ remains accommodative, or China reflates (Japan is a major China supplier). The signal flips sharply on BOJ hawkish surprises or yen carry unwinds. Useful alongside JP_FX1.","Z > +1: japan-outperform (OW Japan equities); -1 <= Z <= +1: neutral; Z < -1: japan-underperform (favour global, watch for yen-driven risk-off)."
FX_2,JPY carry trade signal,FX & Commodities,Japan - FX Mmtm,TRUE,USD/JPY (USDJPY=X) 26-week log momentum,"Yen momentum captures the carry trade cycle. Yen weakening (positive momentum) signals carry trade ON — funds are borrowing in JPY to buy higher-yielding assets globally. Rapid yen strengthening (z < -1) historically precedes forced carry unwind, which triggers simultaneous equity and EM sell-offs. One of the most important systemic risk indicators in global markets.","Z > +0.5: carry-on (global risk appetite supported, favour EM and HY); -1 <= Z <= +0.5: neutral; Z < -1: carry-unwind (systemic risk-off signal, expect equity/EM drawdown within 2-4 weeks). Naturally leading: yen moves precede equity impact."
AS_CN_G1,China vs broad EM divergence,Asia,China - Equity (Growth),,iShares China Large-Cap ETF (FXI) / iShares MSCI EM ETF (EEM) in USD,"China large-cap vs broad EM captures whether China is driving or lagging EM returns. FXI outperformance signals domestic Chinese policy support or credit easing; EEM outperformance signals other EM economies (India, Brazil, Korea) driving the cycle. Strong China outperformance is positive for commodity-currency pairs (AUD, BRL, CLP) and EM risk appetite broadly.","Z > +1: China-outperform-EM (China driving cycle; favour China, commodities, AUD); -1 <= Z <= +1: neutral; Z < -1: China-underperform-EM (rotation to other EM; India, Brazil may lead)."
GL_G2,Global multi-asset risk appetite,Global,CrossAsset - Growth,,iShares MSCI ACWI ETF (ACWI) / ICE BofA US Treasury Index (GOVT),The broadest single risk-on/risk-off signal: global equities (ACWI covers ~3000 stocks across 47 countries) vs US Treasuries. Rising ratio signals global capital rotating into equities; falling ratio signals broad flight to quality. More comprehensive than US_I8 (SPY/GOVT) which is US-only.,"Z > +1: global risk-on (equities outperforming bonds; raise equity beta, reduce duration); -1 <= Z <= +1: neutral; Z < -1: global risk-off (flight to quality; reduce equities, add duration, raise quality)."
GL_G1,EM vs DM equity relative cycle,Global,CrossAsset - Growth,,iShares MSCI Emerging Markets ETF (EEM) / iShares MSCI World ETF (URTH) in USD,"EM vs DM equity relative cycle. EM outperformance requires three conditions simultaneously: weak USD, positive EM growth differentials vs DM, and commodity strength. This indicator is the single best summary of whether those conditions are in place. Complements US_FX1 (EEM vs DXY) by capturing the equity relative rather than the FX channel directly.","Z > +1: em-outperform (favour EM equities, EM local bonds, commodity currencies); -1 <= Z <= +1: neutral; Z < -1: dm-outperform (favour DM equities, USD, quality)."
FX_CMD6,Global commodity cycle momentum,FX & Commodities,Growth Mmtm,,Invesco DB Commodity Index Tracking Fund (DBC) 52-week log return,"The 12-month momentum of the DBC commodity basket captures the commodity supercycle. Positive momentum lifts inflation breakevens, supports commodity-exporting equity markets (ASX, Bovespa, JSE, TSX) and commodity-linked currencies. Leads EM equity outperformance by 8-12 weeks on positive turns.","Z > +1: commodity-bull (favour energy, materials, commodity exporters, inflation-linked bonds, TIPS); -1 <= Z <= +1: neutral; Z < -1: commodity-bear (favour consumer-driven EM, quality DM equities, nominal bonds)."
FX_CMD3,Oil vs gold inflation regime,FX & Commodities,Inflation,,WTI Crude Oil (CL=F) / Gold (GC=F) log-ratio,"Oil vs gold separates growth-driven inflation from fear-driven safe-haven demand. Oil outperforming gold signals reflationary growth (positive for cyclicals, energy, materials, commodity currencies). Gold outperforming oil signals deflation scare, geopolitical tail risk, or growth slowdown. Complements US_FX2 (copper/gold) by adding the energy dimension.","Z > +1: growth-inflation (oil leads; favour cyclicals, energy, OW equities vs bonds); -1 <= Z <= +1: balanced; Z < -1: deflation-risk (gold leads; favour defensives, gold, long duration, reduce energy)."
