name,asset_class,broad_asset_class,region,country_market,base_currency,hedged,units,data_source,validation_status,audit_symbol,is_level,is_yield,pence,tier,simple_dash,has_output
S&P 500 Paper & Forest Products (Industry),Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-151050,False,False,False,C,False,True
S&P 500 Aerospace & Defense (In,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-201010,False,False,False,C,False,True
S&P 500 Building Products (Indu,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-201020,False,False,False,C,False,True
S&P 500 Construction & Engineer,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-201030,False,False,False,C,False,True
S&P 500 Electrical Equipment (I,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-201040,False,False,False,C,False,True
S&P 500 Industrial Conglomerate,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-201050,False,False,False,C,False,True
S&P 500 Machinery (Industry),Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-201060,False,False,False,C,False,True
S&P 500 Trading Companies & Dis,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-201070,False,False,False,C,False,True
S&P 500 - Commercial Services &,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-202010,False,False,False,C,False,True
S&P 500 - Professional Services,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-202020,False,False,False,C,False,False
S&P 500 Air Freight & Logistics,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-203010,False,False,False,C,False,True
S&P 500 Passenger Airlines (Ind,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-203020,False,False,False,C,False,True
,Equity,Equity,,,,False,Index,yfinance PR,UNAVAILABLE,^SP500-203030,False,False,False,C,False,False
S&P 500 Ground Transportation (,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-203040,False,False,False,C,False,True
S&P 500 Automobile Components (,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-251010,False,False,False,C,False,True
S&P 500 Automobiles (Industry),Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-251020,False,False,False,C,False,True
S&P 500 Household Durables (Ind,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-252010,False,False,False,C,False,True
S&P 500 Leisure Products (Indus,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-252020,False,False,False,C,False,True
"S&P 500 Textiles, Apparel & Lux",Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-252030,False,False,False,C,False,True
S&P 500 Hotels Restaurants & Le,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-253010,False,False,False,C,False,False
S&P 500 Distributors (Industry),Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-255010,False,False,False,C,False,True
S&P 500 Broadline Retail (Indus,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-255030,False,False,False,C,False,False
S&P 500 Specialty Retail (Indus,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-255040,False,False,False,C,False,True
S&P 500 Consumer Staples Distri,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-301010,False,False,False,C,False,False
S&P 500 Beverages (Industry),Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-302010,False,False,False,C,False,True
S&P 500 Food Products (Industry,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-302020,False,False,False,C,False,True
S&P 500 Tobacco (Industry),Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-302030,False,False,False,C,False,True
S&P 500 Household Products (Ind,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-303010,False,False,False,C,False,True
S&P 500 Personal Care Products,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-303020,False,False,False,C,False,True
S&P 500 Health Care Equipment &,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-351010,False,False,False,C,False,True
S&P 500 Health Care Providers &,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-351020,False,False,False,C,False,True
S&P 500 - Biotechnology (Indust,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-352010,False,False,False,C,False,True
S&P 500 - Pharmaceuticals (Indu,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-352020,False,False,False,C,False,True
S&P 500 - Life Sciences Tools &,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-352030,False,False,False,C,False,False
S&P 500 Banks (Industry),Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-401010,False,False,False,C,False,False
S&P 500 Financial Services (Ind,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-402010,False,False,False,C,False,True
S&P 500 Consumer Finance (Indus,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-402020,False,False,False,C,False,True
S&P 500 Capital Markets (Indust,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-402030,False,False,False,C,False,True
S&P 500 Insurance (Industry),Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-403010,False,False,False,C,False,False
S&P 500 IT Services (Industry),Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-451020,False,False,False,C,False,True
S&P 500 Software (Industry),Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-451030,False,False,False,C,False,True
S&P 500 Communications Equipmen,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-452010,False,False,False,C,False,True
"S&P 500 Technology Hardware, St",Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-452020,False,False,False,C,False,False
"S&P 500 - Electronic Equipment,",Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-452030,False,False,False,C,False,True
S&P 500 Semiconductor & Semicon,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-453010,False,False,False,C,False,True
S&P 500 Diversified Telecommuni,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-501010,False,False,False,C,False,True
S&P 500 Wireless Telecommunicat,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-501020,False,False,False,C,False,False
S&P 500 Media (Industry),Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-502010,False,False,False,C,False,False
S&P 500 Entertainment (Industry,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-502020,False,False,False,C,False,False
S&P 500 Interactive Media & Ser,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-502030,False,False,False,C,False,False
S&P 500 Electric Utilities (Ind,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-551010,False,False,False,C,False,True
S&P 500 Gas Utilities (Industry,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-551020,False,False,False,C,False,True
S&P 500 Multi-Utilities (Indust,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-551030,False,False,False,C,False,True
S&P 500 Water Utilities (Indust,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-551040,False,False,False,C,False,False
S&P 500 Independent Power and R,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-551050,False,False,False,C,False,False
S&P 500 Industrial REITs (Indus,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-601025,False,False,False,C,False,False
S&P 500 Hotel & Resort REITs (I,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-601030,False,False,False,C,False,False
S&P 500 Office REITs (Industry),Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-601040,False,False,False,C,False,False
S&P 500 Health Care REITs (Indu,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-601050,False,False,False,C,False,False
S&P 500 - Residential REITs (In,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-601060,False,False,False,C,False,False
S&P 500 Retail REITs (Industry),Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-601070,False,False,False,C,False,False
S&P 500 Specialized REITs (Indu,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-601080,False,False,False,C,False,False
S&P 500 -Real Estate Management,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,UNAVAILABLE,^SP500-602010,False,False,False,C,False,False
iShares Core Global Aggregate Bond UCITS ETF,Fixed Income,Bonds,Global,Global,USD,False,Price,yfinance TR,CONFIRMED,AGGG.L,False,False,True,B,True,True
iShares Core GBP Corporate Bond UCITS ETF,Fixed Income,Bonds,UK,United Kingdom,GBP,False,Price,yfinance TR,CONFIRMED,SLXX.L,False,False,True,B,True,True
iShares USD High Yield Corp Bond UCITS ETF,Fixed Income,Bonds,UK,United Kingdom,USD,False,Price,yfinance TR,CONFIRMED,IHYU.L,False,False,True,B,True,True
Vanguard USD EM Government Bond UCITS ETF,Fixed Income,Bonds,UK,United Kingdom,USD,False,Price,yfinance TR,CONFIRMED,VDET.L,False,False,True,B,True,True
iShares Core UK Gilts UCITS ETF,Fixed Income,Bonds,UK,United Kingdom,GBP,False,Index,yfinance TR,CONFIRMED,IGLT.L,False,False,True,B,True,True
iShares UK Short Duration Gilt UCITS ETF,Fixed Income,Bonds,UK,United Kingdom,GBP,False,Index,yfinance TR,CONFIRMED,IGLS.L,False,False,True,B,True,True
iShares China CNY Bond UCITS ETF,Fixed Income,Bonds,Asia Pacific,China,CNY,False,Index,yfinance TR,CONFIRMED,CNYB.L,False,False,True,B,True,True
ICE BofA US Corporate IG OAS,Fixed Income,Bonds,North America,United States,USD,False,Price,FRED,CONFIRMED,BAMLC0A0CM,False,True,False,A,False,True
ICE BofA US AAA Corporate OAS,Fixed Income,Bonds,North America,United States,USD,False,bps,FRED,CONFIRMED,BAMLC0A1CAAA,False,True,False,A,False,True
ICE BofA US AA Corporate OAS,Fixed Income,Bonds,North America,United States,USD,False,bps,FRED,CONFIRMED,BAMLC0A2CAA,False,True,False,A,False,True
ICE BofA US A Corporate OAS,Fixed Income,Bonds,North America,United States,USD,False,bps,FRED,CONFIRMED,BAMLC0A3CA,False,True,False,A,False,True
ICE BofA US BBB Corporate OAS,Fixed Income,Bonds,North America,United States,USD,False,bps,FRED,CONFIRMED,BAMLC0A4CBBB,False,True,False,A,False,True
ICE BofA US High Yield OAS,Fixed Income,Bonds,North America,United States,USD,False,Price,FRED,CONFIRMED,BAMLH0A0HYM2,False,True,False,A,False,True
ICE BofA US BB High Yield OAS,Fixed Income,Bonds,North America,United States,USD,False,Price,FRED,CONFIRMED,BAMLH0A1HYBB,False,True,False,A,False,True
ICE BofA US Single-B High Yield OAS,Fixed Income,Bonds,North America,United States,USD,False,Price,FRED,CONFIRMED,BAMLH0A2HYB,False,True,False,A,False,True
ICE BofA US CCC & Lower HY OAS,Fixed Income,Bonds,North America,United States,USD,False,Price,FRED,CONFIRMED,BAMLH0A3HYC,False,True,False,A,False,True
ICE BofA Euro High Yield OAS,Fixed Income,Bonds,Europe,Europe,EUR,False,Price,FRED,CONFIRMED,BAMLHE00EHYIOAS,False,True,False,A,False,True
ICE BofA EM Corporate Plus OAS,Fixed Income,Bonds,Emerging Markets,Emerging Markets,USD,False,bps,FRED,CONFIRMED,BAMLEMCBPIOAS,False,True,False,A,False,True
ICE BofA EM High Yield Corporate OAS,Fixed Income,Bonds,,,,False,Price,FRED,CONFIRMED,BAMLEMHBHYCRPIOAS,False,True,False,A,False,True
ICE BofA EM Asia Corporate OAS,Fixed Income,Bonds,,,,False,bps,FRED,CONFIRMED,BAMLEMRACRPIASIAOAS,False,True,False,A,False,True
ICE BofA EM BBB Corporate OAS,Fixed Income,Bonds,,,,False,bps,FRED,CONFIRMED,BAMLEM2BRRBBBCRPIOAS,False,True,False,A,False,True
ICE BofA US Treasury Index,Fixed Income,Bonds,North America,United States,USD,False,Index,yfinance TR,CONFIRMED,GOVT,False,False,False,A,False,True
ICE BofA 1-3 Year US Treasury Index,Fixed Income,Bonds,North America,United States,USD,False,Index,yfinance TR,CONFIRMED,SHY,False,False,False,A,False,True
ICE BofA 10+ Year US Treasury Index,Fixed Income,Bonds,North America,United States,USD,False,Index,yfinance TR,CONFIRMED,TLT,False,False,False,A,False,True
ICE BofA US Inflation-Linked Treasury Index (TIPS),Fixed Income,Bonds,North America,United States,USD,False,Price,FRED,CONFIRMED,DFII10,False,True,False,A,False,True
ICE BofA US Corporate Index,Fixed Income,Bonds,North America,United States,USD,False,Price,FRED,CONFIRMED,BAMLCC0A0CMTRIV,False,True,False,A,False,True
ICE BofA US High Yield Index,Fixed Income,Bonds,North America,United States,USD,False,Price,FRED,CONFIRMED,BAMLHYH0A0HYM2TRIV,False,True,False,A,False,True
ICE BofA UK Gilt Index,Fixed Income,Bonds,UK,United Kingdom,GBP,False,Index,yfinance TR,CONFIRMED,IGLT.L,False,False,True,B,False,True
ICE BofA UK Gilt Index (USD Hedged),Fixed Income,Bonds,UK,United Kingdom,GBP,True,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
ICE BofA 1-3 Year UK Gilt Index,Fixed Income,Bonds,UK,United Kingdom,GBP,False,Index,yfinance TR,CONFIRMED,IGLS.L,False,False,True,B,False,True
ICE BofA 1-3 Year UK Gilt Index (USD Hedged),Fixed Income,Bonds,UK,United Kingdom,GBP,True,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
ICE BofA 10+ Year UK Gilt Index,Fixed Income,Bonds,UK,United Kingdom,GBP,False,Index,yfinance TR,CONFIRMED,IGLT.L,False,False,True,B,False,True
ICE BofA 10+ Year UK Gilt Index (USD Hedged),Fixed Income,Bonds,UK,United Kingdom,GBP,True,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
ICE BofA UK Inflation-Linked Gilt Index,Fixed Income,Bonds,UK,United Kingdom,GBP,False,Price,yfinance TR,CONFIRMED,INXG.L,False,False,True,B,False,True
ICE BofA UK Inflation-Linked Gilt Index (USD Hedged),Fixed Income,Bonds,UK,United Kingdom,GBP,True,Price,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
ICE BofA Euro Government Bond Index,Fixed Income,Bonds,Europe,Europe,EUR,False,Index,yfinance TR,CONFIRMED,IEAG.L,False,False,True,B,False,True
ICE BofA Euro Government Bond Index (USD Hedged),Fixed Income,Bonds,Europe,Europe,EUR,True,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
ICE BofA 1-3 Year Euro Government Bond Index,Fixed Income,Bonds,Europe,Europe,EUR,False,Index,yfinance TR,CONFIRMED,IBGS.L,False,False,True,B,False,True
ICE BofA 1-3 Year Euro Government Bond Index (USD Hedged),Fixed Income,Bonds,Europe,Europe,EUR,True,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
ICE BofA 10+ Year Euro Government Bond Index,Fixed Income,Bonds,Europe,Europe,EUR,False,Index,yfinance TR,CONFIRMED,IBGL.L,False,False,True,B,False,True
ICE BofA 10+ Year Euro Government Bond Index (USD Hedged),Fixed Income,Bonds,Europe,Europe,EUR,True,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
ICE BofA Euro Inflation-Linked Government Bond Index,Fixed Income,Bonds,Europe,Europe,EUR,False,Price,yfinance TR,CONFIRMED,IBCI.L,False,False,True,B,False,True
ICE BofA Euro Inflation-Linked Government Bond Index (USD Hedged),Fixed Income,Bonds,Europe,Europe,EUR,True,Price,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
ICE BofA Japan Government Bond Index,Fixed Income,Bonds,Japan,Japan,JPY,False,Index,yfinance TR,CONFIRMED,2561.T,False,False,False,B,False,True
ICE BofA Japan Government Bond Index (USD Hedged),Fixed Income,Bonds,Japan,Japan,JPY,True,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
ICE BofA 1-3 Year Japan Government Bond Index,Fixed Income,Bonds,Japan,Japan,JPY,False,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
ICE BofA 1-3 Year Japan Government Bond Index (USD Hedged),Fixed Income,Bonds,Japan,Japan,JPY,True,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
ICE BofA 10+ Year Japan Government Bond Index,Fixed Income,Bonds,Japan,Japan,JPY,False,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
ICE BofA 10+ Year Japan Government Bond Index (USD Hedged),Fixed Income,Bonds,Japan,Japan,JPY,True,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
Japan Inflation-Linked Government Bond Index,Fixed Income,Bonds,Japan,Japan,JPY,False,Price,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
Japan Inflation-Linked Government Bond Index (USD Hedged),Fixed Income,Bonds,Japan,Japan,JPY,True,Price,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
ICE BofA Canada Government Bond Index,Fixed Income,Bonds,North America,Canada,CAD,False,Index,yfinance TR,CONFIRMED,XGB.TO,False,False,False,B,False,True
ICE BofA Canada Government Bond Index (USD Hedged),Fixed Income,Bonds,North America,Canada,CAD,True,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
ICE BofA 1-3 Year Canada Government Bond Index,Fixed Income,Bonds,North America,Canada,CAD,False,Index,yfinance TR,CONFIRMED,XSB.TO,False,False,False,B,False,True
ICE BofA 1-3 Year Canada Government Bond Index (USD Hedged),Fixed Income,Bonds,North America,Canada,CAD,True,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
ICE BofA 10+ Year Canada Government Bond Index,Fixed Income,Bonds,North America,Canada,CAD,False,Index,yfinance TR,CONFIRMED,XLB.TO,False,False,False,B,False,True
ICE BofA 10+ Year Canada Government Bond Index (USD Hedged),Fixed Income,Bonds,North America,Canada,CAD,True,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
Canada Real Return Bond Index (Inflation-Linked),Fixed Income,Bonds,North America,Canada,CAD,False,Price,yfinance TR,CONFIRMED,XRB.TO,False,False,False,B,False,True
Canada Real Return Bond Index (USD Hedged),Fixed Income,Bonds,North America,Canada,CAD,True,Price,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
ICE BofA Germany Government Bond Index (Bunds),Fixed Income,Bonds,Europe,Germany,EUR,False,Index,yfinance TR,CONFIRMED,EXX6.DE,False,False,False,B,True,True
ICE BofA Germany Government Bond Index (USD Hedged),Fixed Income,Bonds,Europe,Germany,EUR,True,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
France Government Bond Index (OATs),Fixed Income,Bonds,Europe,France,EUR,False,Index,yfinance TR,CONFIRMED,IFRB.L,False,False,True,B,False,True
France Government Bond Index (USD Hedged),Fixed Income,Bonds,Europe,France,EUR,True,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
Italy Government Bond Index (BTPs),Fixed Income,Bonds,Europe,Italy,EUR,False,Index,yfinance TR,CONFIRMED,IITB.L,False,False,True,B,False,True
Italy Government Bond Index (USD Hedged),Fixed Income,Bonds,Europe,Italy,EUR,True,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
Australia Government Bond Index,Fixed Income,Bonds,Asia Pacific,Australia,AUD,False,Index,yfinance TR,CONFIRMED,IAF.AX,False,False,False,B,False,True
Australia Government Bond Index (USD Hedged),Fixed Income,Bonds,Asia Pacific,Australia,AUD,True,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
China Government Bond Index (CGBs),Fixed Income,Bonds,Asia Pacific,China,CNY,False,Index,yfinance TR,CONFIRMED,CNYB.L,False,False,True,B,False,True
China Government Bond Index (USD Hedged),Fixed Income,Bonds,Asia Pacific,China,CNY,True,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
India Government Bond Index,Fixed Income,Bonds,Asia Pacific,India,INR,False,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
India Government Bond Index (USD Hedged),Fixed Income,Bonds,Asia Pacific,India,INR,True,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
Brazil Government Bond Index (Tesouro Nacional),Fixed Income,Bonds,Latin America,Brazil,BRL,False,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
Brazil Government Bond Index (USD Hedged),Fixed Income,Bonds,Emerging Markets,Emerging Markets,BRL,True,Price,yfinance TR,CONFIRMED,EMB,False,False,False,B,False,True
South Korea Government Bond Index (KTBs),Fixed Income,Bonds,Asia Pacific,South Korea,KRW,False,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
South Korea Government Bond Index (USD Hedged),Fixed Income,Bonds,Emerging Markets,Emerging Markets,KRW,True,Price,yfinance TR,CONFIRMED,EMB,False,False,False,B,False,True
Mexico Government Bond Index (Bonos M),Fixed Income,Bonds,Latin America,Mexico,MXN,False,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
Mexico Government Bond Index (USD Hedged),Fixed Income,Bonds,Emerging Markets,Emerging Markets,MXN,True,Price,yfinance TR,CONFIRMED,EMB,False,False,False,B,False,True
Indonesia Government Bond Index (SBN),Fixed Income,Bonds,Asia Pacific,Indonesia,IDR,False,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
Indonesia Government Bond Index (USD Hedged),Fixed Income,Bonds,Emerging Markets,Emerging Markets,IDR,True,Price,yfinance TR,CONFIRMED,EMB,False,False,False,B,False,True
Saudi Arabia Government Bond / Sukuk Index,Fixed Income,Bonds,Middle East & Africa,Saudi Arabia,SAR,False,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
Saudi Arabia Government Bond / Sukuk Index (USD Hedged),Fixed Income,Bonds,Emerging Markets,Emerging Markets,SAR,True,Price,yfinance TR,CONFIRMED,EMB,False,False,False,B,False,True
South Africa Government Bond Index,Fixed Income,Bonds,Middle East & Africa,South Africa,ZAR,False,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
South Africa Government Bond Index (USD Hedged),Fixed Income,Bonds,Emerging Markets,Emerging Markets,ZAR,True,Price,yfinance TR,CONFIRMED,EMB,False,False,False,B,False,True
Turkey Government Bond Index,Fixed Income,Bonds,Europe,Turkey,TRY,False,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
Turkey Government Bond Index (USD Hedged),Fixed Income,Bonds,Emerging Markets,Emerging Markets,TRY,True,Price,yfinance TR,CONFIRMED,EMB,False,False,False,B,False,True
Argentina Government Bond Index,Fixed Income,Bonds,Latin America,Argentina,ARS,False,Index,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
Argentina Government Bond Index (USD Hedged),Fixed Income,Bonds,Emerging Markets,Emerging Markets,ARS,True,Price,yfinance TR,CONFIRMED,EMB,False,False,False,B,False,True
ICE BofA Global Corporate Bond Index,Fixed Income,Bonds,Global,Global,USD,False,Price,FRED,CONFIRMED,BAMLCC0A0CMTRIV,False,False,False,A,False,True
ICE BofA Global Corporate Bond Index (USD Hedged),Fixed Income,Bonds,Global,Global,USD,True,Price,FRED,CONFIRMED,BAMLCC0A0CMTRIV,False,False,False,A,False,True
ICE BofA Euro Corporate Bond Index,Fixed Income,Bonds,Europe,Europe,EUR,False,Price,yfinance TR,CONFIRMED,IBCX.L,False,False,True,B,False,True
ICE BofA Euro Corporate Bond Index (USD Hedged),Fixed Income,Bonds,Europe,Europe,EUR,True,Price,UNAVAILABLE,UNAVAILABLE,,False,False,False,C,False,False
ICE BofA Global High Yield Bond Index,Fixed Income,Bonds,Global,Global,USD,False,Price,FRED,CONFIRMED,BAMLHYH0A0HYM2TRIV,False,False,False,A,False,True
ICE BofA Global High Yield Bond Index (USD Hedged),Fixed Income,Bonds,Global,Global,USD,True,Price,yfinance TR,CONFIRMED,HYLH.L,False,False,True,B,False,True
ICE BofA Euro High Yield Bond Index,Fixed Income,Bonds,Europe,Europe,EUR,False,Price,FRED,CONFIRMED,BAMLHE00EHYITRIV,False,False,False,A,False,True
ICE BofA Euro High Yield Bond Index (USD Hedged),Fixed Income,Bonds,Europe,Europe,EUR,True,Price,yfinance TR,CONFIRMED,HYXU,False,False,False,B,False,True
JP Morgan  USD Emerging Market Debt,Fixed Income,Bonds,Emerging Markets,Emerging Markets,USD,False,Price,yfinance TR,CONFIRMED,EMB,False,False,False,B,False,True
FTSE International Government Inflation-Protected Bond Index (USD Hedged),Fixed Income,Bonds,Global,Global,USD,True,Price,yfinance TR,CONFIRMED,WIP,False,False,False,A,False,True
WTI Crude Oil,Commodity,Commodities,Global,United States,USD,False,Price,yfinance PR,CONFIRMED,CL=F,False,False,False,A,True,True
Brent Crude Oil,Commodity,Commodities,Global,United States,USD,False,Price,yfinance PR,CONFIRMED,BZ=F,False,False,False,A,True,True
Natural Gas (Henry Hub),Commodity,Commodities,Global,United States,USD,False,Price,yfinance PR,CONFIRMED,NG=F,False,False,False,A,False,True
Gasoline (RBOB),Commodity,Commodities,Global,United States,USD,False,Price,yfinance PR,CONFIRMED,RB=F,False,False,False,A,False,True
Heating Oil,Commodity,Commodities,Global,United States,USD,False,Price,yfinance PR,CONFIRMED,HO=F,False,False,False,A,False,True
Gold,Commodity,Commodities,Global,United States,USD,False,Price,yfinance PR,CONFIRMED,GC=F,False,False,False,A,True,True
Silver,Commodity,Commodities,Global,United States,USD,False,Price,yfinance PR,CONFIRMED,SI=F,False,False,False,A,True,True
Copper,Commodity,Commodities,Global,United States,USD,False,Price,yfinance PR,CONFIRMED,HG=F,False,False,False,A,True,True
Aluminium,Commodity,Commodities,Global,United States,USD,False,Price,yfinance PR,CONFIRMED,ALI=F,False,False,False,A,True,True
Soybeans,Commodity,Commodities,Global,United States,USX,False,Price,yfinance PR,CONFIRMED,ZS=F,False,False,False,A,False,True
Corn,Commodity,Commodities,Global,United States,USX,False,Price,yfinance PR,CONFIRMED,ZC=F,False,False,False,A,False,True
Wheat,Commodity,Commodities,Global,United States,USX,False,Price,yfinance PR,CONFIRMED,ZW=F,False,False,False,A,False,True
Sugar No. 11,Commodity,Commodities,Global,United States,USX,False,Price,yfinance PR,CONFIRMED,SB=F,False,False,False,A,False,True
Cotton No. 2,Commodity,Commodities,Global,United States,USX,False,Price,yfinance PR,CONFIRMED,CT=F,False,False,False,A,True,True
Coffee (Arabica),Commodity,Commodities,Global,United States,USX,False,Price,yfinance PR,CONFIRMED,KC=F,False,False,False,A,True,True
Cocoa,Commodity,Commodities,Global,United States,USD,False,Price,yfinance PR,CONFIRMED,CC=F,False,False,False,A,False,True
Live Cattle,Commodity,Commodities,Global,United States,USX,False,Price,yfinance PR,CONFIRMED,LE=F,False,False,False,A,False,True
